col_datetime,index,col_002,col_003,col_004,col_005,col_006,col_007,col_008,col_009,col_010,col_011,col_012,col_013,col_014,col_015,col_017,col_018,col_019,col_020,col_021,col_022,col_023,col_024,col_025,col_026,col_027,col_028,col_029,col_030,col_031,col_032,col_033,col_034,col_035,col_036,col_037,col_038,col_039,col_040,col_041,col_042,col_043,col_044,col_045,col_046,col_year,col_label
2022-09-27 17:32:45,0,27,17,32,9,45,2022-09-27T15:40:01.000Z,0,0,0,0,0,0,0,0,145,145,0,0,0,,0.0,0,0,0,299,304,298,301,304,303,303,305,,,13,300,300,300,300,300,300,300,300,,2022,0
2022-09-27 17:33:36,1,27,17,33,9,36,2022-09-27T15:40:52.000Z,0,0,0,0,0,0,0,0,145,145,8,0,0,,25.6,0,0,0,300,297,305,299,298,300,300,299,,,13,300,300,300,300,300,300,300,300,,2022,0
2022-09-27 17:33:39,2,27,17,33,9,39,2022-09-27T15:40:55.000Z,0,0,0,0,0,0,0,0,145,145,16,0,0,,81.8,0,0,0,300,297,305,299,298,300,301,299,,,13,300,300,300,300,300,300,300,300,,2022,0
2022-09-27 17:36:54,3,27,17,36,9,54,2022-09-27T15:44:11.000Z,0,0,0,0,0,0,0,0,145,145,24,0,0,,121.8,0,0,0,299,302,301,299,299,302,303,300,,,13,300,300,300,300,300,300,300,300,,2022,0
2022-09-27 17:37:04,4,27,17,37,9,4,2022-09-27T15:44:21.000Z,0,0,0,0,0,0,0,0,145,145,32,0,0,,31.9,0,0,0,298,300,302,299,298,301,301,302,,,13,300,300,300,300,300,300,300,300,,2022,0
2022-09-27 17:37:07,5,27,17,37,9,7,2022-09-27T15:44:24.000Z,0,0,0,0,0,0,0,0,145,145,40,0,0,,86.5,0,0,0,298,300,302,299,298,300,300,302,,,13,300,300,300,300,300,300,300,300,,2022,0
2022-09-27 17:37:10,6,27,17,37,9,10,2022-09-27T15:44:27.000Z,0,0,0,0,0,0,0,0,145,145,48,0,0,,142.8,0,0,0,298,299,303,299,298,300,300,303,,,13,300,300,300,300,300,300,300,300,,2022,0
2022-09-27 17:37:12,7,27,17,37,9,12,2022-09-27T15:44:29.000Z,0,0,0,0,0,0,0,0,145,145,56,0,0,,60.8,0,0,0,298,299,303,299,298,300,299,303,,,13,300,300,300,300,300,300,300,300,,2022,0
2022-09-27 17:37:15,8,27,17,37,9,15,2022-09-27T15:44:32.000Z,0,0,0,0,0,0,0,0,145,145,64,0,0,,117.1,0,0,0,299,299,303,300,298,299,299,303,,,13,300,300,300,300,300,300,300,300,,2022,0
2022-09-27 17:37:17,9,27,17,37,9,17,2022-09-27T15:44:34.000Z,0,0,0,0,0,0,0,0,145,145,72,0,0,,36.8,0,0,0,299,299,303,300,298,299,299,304,,,13,300,300,300,300,300,300,300,300,,2022,0
2022-09-27 17:37:20,10,27,17,37,9,20,2022-09-27T15:44:37.000Z,0,0,0,0,0,0,0,0,145,145,80,0,0,,93.0,0,0,0,299,299,303,300,298,299,298,304,,,13,300,300,300,300,300,300,300,300,,2022,0
2022-09-27 17:37:22,11,27,17,37,9,22,2022-09-27T15:44:39.000Z,0,0,0,0,0,0,0,0,145,145,88,0,0,,11.1,0,0,0,299,298,302,300,298,299,298,304,,,13,300,300,300,300,300,300,300,300,,2022,0
2022-09-27 17:37:25,12,27,17,37,9,25,2022-09-27T15:44:42.000Z,0,0,0,0,0,0,0,0,145,145,96,0,0,,67.3,0,0,0,299,298,302,300,298,298,298,304,,,13,300,300,300,300,300,300,300,300,,2022,0
2022-09-27 17:37:28,13,27,17,37,9,28,2022-09-27T15:44:45.000Z,0,0,0,0,0,0,0,0,145,145,104,0,0,,123.6,0,0,0,299,298,302,300,298,298,298,304,,,13,300,300,300,300,300,300,300,300,,2022,0
